group_type,group_value,rows,actual_price_mean,predicted_price_mean,mae,median_abs_error,rmse,mean_abs_percentage_error
Property Type,Apartment,62,321629.01612903224,317324.82991716784,40509.063234560286,30657.826941155246,54906.80821570295,13.75494949211096
Property Type,Condominium,186,580930.0967741936,581086.4241058434,92790.25938227258,47761.031836213224,179969.4786881711,15.83071709472508
Property Type,Flat,1,145000.0,227645.87340933207,82645.87340933207,82645.87340933207,82645.87340933207,56.997154075401426
Property Type,Others,2,440000.0,446034.3324325865,118548.17562351946,118548.17562351946,118701.65589229066,28.41201465945086
Property Type,Service Residence,46,459844.47826086957,458224.8559122821,83982.9172711786,56010.83143466478,124529.61872449232,17.693549991028597
Tenure Type,Freehold,206,524968.9708737864,517119.0643953955,85378.08056652808,45003.725008805515,169160.45024242744,15.72393312012572
Tenure Type,Leasehold,91,461848.73626373627,477227.9668498823,69951.88997880481,44273.539197350736,108176.16908397508,16.328730861158952
Price Band,Budget,75,269546.64,300538.2142232712,48686.56351214959,35351.77821054938,73676.66270159649,20.070057030194803
Price Band,Luxury,69,911216.7826086957,857078.3563409611,165639.4670250063,104691.79427677137,286131.749164022,16.761981663609824
Price Band,Mid-range,74,373716.2162162162,401554.6355753284,53223.362978933874,39242.87509614398,71061.81445551178,14.390914115847414
Price Band,Premium,79,499074.5189873418,488107.0450879089,62460.28147086408,43845.92108680651,81884.84015937557,12.636532588417293
