model,fit_time_seconds,valid_rmse,valid_mae,valid_r2,valid_median_abs_error,params
lightgbm,0.355,174995.8354523282,85266.87612887783,0.7743583419791753,34786.05939122115,"{""boosting_type"": ""gbdt"", ""class_weight"": null, ""colsample_bytree"": 0.85, ""importance_type"": ""split"", ""learning_rate"": 0.03, ""max_depth"": -1, ""min_child_samples"": 20, ""min_child_weight"": 0.001, ""min_split_gain"": 0.0, ""n_estimators"": 1200, ""n_jobs"": 1, ""num_leaves"": 31, ""objective"": null, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 0.0, ""subsample"": 0.85, ""subsample_for_bin"": 200000, ""subsample_freq"": 0}"
hist_gradient_boosting,1.732,180343.04196755498,88652.61582949584,0.7603581645820101,41163.643976301886,"{""categorical_features"": ""from_dtype"", ""early_stopping"": ""auto"", ""interaction_cst"": null, ""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""loss"": ""squared_error"", ""max_bins"": 255, ""max_depth"": 8, ""max_features"": 1.0, ""max_iter"": 500, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 20, ""monotonic_cst"": null, ""n_iter_no_change"": 10, ""quantile"": null, ""random_state"": 42, ""scoring"": ""loss"", ""tol"": 1e-07, ""validation_fraction"": 0.1, ""verbose"": 0, ""warm_start"": false}"
xgboost,0.363,185458.44148389544,83114.40914351853,0.746570558219714,34031.96875,"{""base_score"": null, ""booster"": null, ""callbacks"": null, ""colsample_bylevel"": null, ""colsample_bynode"": null, ""colsample_bytree"": 0.85, ""device"": null, ""early_stopping_rounds"": null, ""enable_categorical"": false, ""eval_metric"": null, ""feature_types"": null, ""feature_weights"": null, ""gamma"": null, ""grow_policy"": null, ""importance_type"": null, ""interaction_constraints"": null, ""learning_rate"": 0.03, ""max_bin"": null, ""max_cat_threshold"": null, ""max_cat_to_onehot"": null, ""max_delta_step"": null, ""max_depth"": 6, ""max_leaves"": null, ""min_child_weight"": null, ""missing"": NaN, ""monotone_constraints"": null, ""multi_strategy"": null, ""n_estimators"": 1000, ""n_jobs"": 1, ""num_parallel_tree"": null, ""objective"": ""reg:squarederror"", ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""sampling_method"": null, ""scale_pos_weight"": null, ""subsample"": 0.85, ""tree_method"": null, ""validate_parameters"": null, ""verbosity"": null}"
extra_trees,1.434,194530.801525402,95739.82811355841,0.7211692879793518,41982.60114006838,"{""bootstrap"": false, ""ccp_alpha"": 0.0, ""criterion"": ""squared_error"", ""max_depth"": null, ""max_features"": 1.0, ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 600, ""n_jobs"": 1, ""oob_score"": false, ""random_state"": 42, ""verbose"": 0, ""warm_start"": false}"
bagging,1.02,199448.5077937006,91316.95348479757,0.7068935077065202,38990.64712340513,"{""bootstrap"": true, ""bootstrap_features"": false, ""estimator"": ""DecisionTreeRegressor(max_depth=18, random_state=42)"", ""estimator__ccp_alpha"": 0.0, ""estimator__criterion"": ""squared_error"", ""estimator__max_depth"": 18, ""estimator__max_features"": null, ""estimator__max_leaf_nodes"": null, ""estimator__min_impurity_decrease"": 0.0, ""estimator__min_samples_leaf"": 1, ""estimator__min_samples_split"": 2, ""estimator__min_weight_fraction_leaf"": 0.0, ""estimator__monotonic_cst"": null, ""estimator__random_state"": 42, ""estimator__splitter"": ""best"", ""max_features"": 1.0, ""max_samples"": null, ""n_estimators"": 250, ""n_jobs"": 1, ""oob_score"": false, ""random_state"": 42, ""verbose"": 0, ""warm_start"": false}"
random_forest,1.205,209132.86871255233,94233.7769968882,0.6777384846641155,38343.583495945786,"{""bootstrap"": true, ""ccp_alpha"": 0.0, ""criterion"": ""squared_error"", ""max_depth"": null, ""max_features"": 1.0, ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 400, ""n_jobs"": 1, ""oob_score"": false, ""random_state"": 42, ""verbose"": 0, ""warm_start"": false}"
lasso,0.012,212894.2515196515,125783.27917677649,0.6660420970870042,78735.05488749134,"{""alpha"": 0.001, ""copy_X"": true, ""fit_intercept"": true, ""max_iter"": 10000, ""positive"": false, ""precompute"": false, ""random_state"": 42, ""selection"": ""cyclic"", ""tol"": 0.0001, ""warm_start"": false}"
ridge,0.015,213123.53114759258,126266.5902416399,0.6653223878920145,78373.37729952496,"{""alpha"": 1.0, ""copy_X"": true, ""fit_intercept"": true, ""max_iter"": null, ""positive"": false, ""random_state"": null, ""solver"": ""auto"", ""tol"": 0.0001}"
elastic_net,0.01,213541.26893850294,125625.08095753529,0.6640091166443782,75878.73894947651,"{""alpha"": 0.01, ""copy_X"": true, ""fit_intercept"": true, ""l1_ratio"": 0.2, ""max_iter"": 10000, ""positive"": false, ""precompute"": false, ""random_state"": 42, ""selection"": ""cyclic"", ""tol"": 0.0001, ""warm_start"": false}"
linear_regression,0.016,213790.37282324943,126750.92625334093,0.6632247675363278,77624.07437093579,"{""copy_X"": true, ""fit_intercept"": true, ""n_jobs"": null, ""positive"": false, ""tol"": 1e-06}"
adaboost,0.586,224212.26696857033,122419.81248171223,0.6295900921170833,64801.29953498521,"{""estimator"": ""DecisionTreeRegressor(max_depth=4, random_state=42)"", ""estimator__ccp_alpha"": 0.0, ""estimator__criterion"": ""squared_error"", ""estimator__max_depth"": 4, ""estimator__max_features"": null, ""estimator__max_leaf_nodes"": null, ""estimator__min_impurity_decrease"": 0.0, ""estimator__min_samples_leaf"": 1, ""estimator__min_samples_split"": 2, ""estimator__min_weight_fraction_leaf"": 0.0, ""estimator__monotonic_cst"": null, ""estimator__random_state"": 42, ""estimator__splitter"": ""best"", ""learning_rate"": 0.03, ""loss"": ""linear"", ""n_estimators"": 300, ""random_state"": 42}"
knn,0.012,237443.9166485341,120484.07195978216,0.5845813882686974,60484.2694543791,"{""algorithm"": ""auto"", ""leaf_size"": 30, ""metric"": ""minkowski"", ""metric_params"": null, ""n_jobs"": null, ""n_neighbors"": 15, ""p"": 2, ""weights"": ""distance""}"
decision_tree,0.015,261723.65088998526,130815.10864853706,0.49528083610537466,67883.91707504948,"{""ccp_alpha"": 0.0, ""criterion"": ""squared_error"", ""max_depth"": 18, ""max_features"": null, ""max_leaf_nodes"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 3, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""random_state"": 42, ""splitter"": ""best""}"
gradient_boosting,0.18,262222.51783848996,111467.79002853979,0.4933549293529862,60177.60240985156,"{""alpha"": 0.9, ""ccp_alpha"": 0.0, ""criterion"": ""friedman_mse"", ""init"": null, ""learning_rate"": 0.1, ""loss"": ""squared_error"", ""max_depth"": 3, ""max_features"": null, ""max_leaf_nodes"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""n_estimators"": 100, ""n_iter_no_change"": null, ""random_state"": 42, ""subsample"": 1.0, ""tol"": 0.0001, ""validation_fraction"": 0.1, ""verbose"": 0, ""warm_start"": false}"
svr_rbf,0.387,279888.81600958435,135700.72421294823,0.4227885396756237,57558.985328674025,"{""C"": 50.0, ""cache_size"": 200, ""coef0"": 0.0, ""degree"": 3, ""epsilon"": 0.05, ""gamma"": ""scale"", ""kernel"": ""rbf"", ""max_iter"": -1, ""shrinking"": true, ""tol"": 0.001, ""verbose"": false}"
dummy_median,0.015,379859.9309373486,196299.50505050505,-0.06318985820733847,111999.99999999977,"{""constant"": null, ""quantile"": null, ""strategy"": ""median""}"
